Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Graph
Bitcoin,"$16,558.35",0.2%,0.3%,-0.9%,"$16,336,323,837","$318,206,547,176",https://www.coingecko.com/coins/1/sparkline
Ethereum,"$1,218.25",0.3%,0.6%,-0.1%,"$3,991,216,083","$146,861,571,192",https://www.coingecko.com/coins/279/sparkline
Tether,$1.00,-0.0%,0.0%,0.0%,"$23,351,869,556","$65,410,955,491",https://www.coingecko.com/coins/325/sparkline
BNB,$311.46,-0.1%,-0.7%,14.4%,"$776,152,772","$50,894,971,575",https://www.coingecko.com/coins/825/sparkline
USD Coin,$1.00,-0.0%,0.1%,-0.0%,"$2,133,200,318","$44,294,986,005",https://www.coingecko.com/coins/6319/sparkline
Binance USD,$1.00,0.0%,0.1%,-0.0%,"$5,230,861,607","$22,435,745,184",https://www.coingecko.com/coins/9576/sparkline
XRP,$0.403479,0.3%,-0.0%,4.3%,"$724,323,122","$20,290,493,394",https://www.coingecko.com/coins/44/sparkline
Dogecoin,$0.104775,0.6%,14.6%,23.3%,"$2,430,199,279","$14,365,926,827",https://www.coingecko.com/coins/5/sparkline
Cardano,$0.319306,0.4%,1.0%,-3.0%,"$167,767,938","$11,192,410,955",https://www.coingecko.com/coins/975/sparkline
Polygon,$0.861399,0.1%,1.1%,-1.9%,"$197,400,907","$7,637,826,939",https://www.coingecko.com/coins/4713/sparkline
Polkadot,$5.41,0.4%,0.9%,-3.5%,"$115,413,777","$6,357,032,537",https://www.coingecko.com/coins/12171/sparkline
Lido Staked Ether,"$1,197.14",0.2%,0.7%,-0.7%,"$13,351,430","$5,708,144,579",https://www.coingecko.com/coins/13442/sparkline
Shiba Inu,$0.000009429740,0.3%,3.0%,2.7%,"$220,462,345","$5,559,024,941",https://www.coingecko.com/coins/11939/sparkline
Litecoin,$76.61,0.3%,1.0%,20.0%,"$660,746,690","$5,495,240,259",https://www.coingecko.com/coins/2/sparkline
OKB,$21.18,0.7%,0.6%,3.0%,"$13,437,438","$5,327,967,847",https://www.coingecko.com/coins/4463/sparkline
Dai,$1.00,0.0%,0.1%,-0.1%,"$154,348,708","$5,270,230,518",https://www.coingecko.com/coins/9956/sparkline
Solana,$14.35,0.6%,1.2%,11.3%,"$255,329,082","$5,206,922,320",https://www.coingecko.com/coins/4128/sparkline
TRON,$0.053985680945,0.2%,1.9%,3.3%,"$215,009,449","$4,975,814,492",https://www.coingecko.com/coins/1094/sparkline
Uniswap,$5.55,0.1%,1.7%,-3.7%,"$60,985,443","$4,187,175,346",https://www.coingecko.com/coins/12504/sparkline
Avalanche,$13.18,0.4%,2.7%,2.2%,"$103,778,765","$3,961,529,624",https://www.coingecko.com/coins/12559/sparkline
LEO Token,$4.18,0.1%,4.1%,-0.9%,"$1,597,523","$3,906,245,365",https://www.coingecko.com/coins/8418/sparkline
Wrapped Bitcoin,"$16,506.91",0.2%,0.7%,-0.7%,"$150,409,883","$3,601,483,732",https://www.coingecko.com/coins/7598/sparkline
Chainlink,$7.09,0.4%,-1.4%,15.3%,"$286,202,237","$3,482,299,254",https://www.coingecko.com/coins/877/sparkline
Cosmos Hub,$10.21,0.2%,-0.3%,2.0%,"$67,948,291","$2,985,036,962",https://www.coingecko.com/coins/1481/sparkline
Ethereum Classic,$20.13,0.5%,0.4%,2.7%,"$142,028,176","$2,779,706,231",https://www.coingecko.com/coins/453/sparkline
The Open Network,$1.72,-0.0%,0.5%,-0.6%,"$3,599,138","$2,528,184,012",https://www.coingecko.com/coins/17980/sparkline
Monero,$137.71,0.3%,1.1%,2.4%,"$88,897,301","$2,503,140,843",https://www.coingecko.com/coins/69/sparkline
Stellar,$0.091773437086,1.3%,3.0%,0.9%,"$65,273,894","$2,356,622,995",https://www.coingecko.com/coins/100/sparkline
Bitcoin Cash,$112.70,0.1%,0.4%,7.5%,"$433,230,504","$2,168,778,714",https://www.coingecko.com/coins/780/sparkline
Quant,$121.11,-0.1%,-0.6%,4.7%,"$26,319,417","$1,761,849,575",https://www.coingecko.com/coins/3370/sparkline
Algorand,$0.246136,0.0%,2.0%,-18.5%,"$57,329,571","$1,752,780,623",https://www.coingecko.com/coins/4380/sparkline
Cronos,$0.065061054778,-0.1%,0.2%,-9.1%,"$12,246,401","$1,644,602,466",https://www.coingecko.com/coins/7310/sparkline
Filecoin,$4.46,0.9%,3.6%,1.7%,"$113,650,609","$1,457,473,795",https://www.coingecko.com/coins/12817/sparkline
ApeCoin,$3.91,1.6%,8.1%,17.9%,"$276,936,263","$1,407,270,851",https://www.coingecko.com/coins/24383/sparkline
VeChain,$0.019356443792,1.1%,1.6%,0.2%,"$32,639,354","$1,401,534,001",https://www.coingecko.com/coins/1167/sparkline
NEAR Protocol,$1.65,0.3%,1.4%,-5.7%,"$78,306,028","$1,371,197,396",https://www.coingecko.com/coins/10365/sparkline
Hedera,$0.050817332301,0.2%,0.6%,3.3%,"$10,070,983","$1,257,338,757",https://www.coingecko.com/coins/3688/sparkline
Flow,$1.16,0.6%,2.7%,-6.8%,"$19,732,603","$1,200,004,238",https://www.coingecko.com/coins/13446/sparkline
Frax,$0.999151,0.1%,0.0%,-0.1%,"$7,625,067","$1,178,606,889",https://www.coingecko.com/coins/13422/sparkline
Internet Computer,$4.04,0.1%,3.4%,1.8%,"$21,449,260","$1,111,342,730",https://www.coingecko.com/coins/14495/sparkline
MultiversX (Elrond),$43.65,0.4%,-0.4%,1.4%,"$16,432,893","$1,041,604,569",https://www.coingecko.com/coins/12335/sparkline
EOS,$0.947889,1.0%,2.4%,4.7%,"$95,321,101","$1,029,262,234",https://www.coingecko.com/coins/738/sparkline
Terra Luna Classic,$0.000164578765,0.1%,1.8%,-5.3%,"$78,750,901","$985,659,236",https://www.coingecko.com/coins/8284/sparkline
Theta Network,$0.972611,-0.6%,6.0%,7.3%,"$26,417,291","$973,206,510",https://www.coingecko.com/coins/2538/sparkline
Chiliz,$0.174650,-0.0%,0.4%,-29.5%,"$157,668,277","$934,173,987",https://www.coingecko.com/coins/8834/sparkline
Huobi,$7.07,2.1%,-1.7%,55.5%,"$21,670,837","$926,802,530",https://www.coingecko.com/coins/2822/sparkline
Tezos,$1.02,0.3%,2.1%,1.5%,"$13,247,839","$923,656,570",https://www.coingecko.com/coins/976/sparkline
Chain,$0.042407203791,0.5%,-0.2%,-12.5%,"$9,181,022","$911,908,499",https://www.coingecko.com/coins/24210/sparkline
Pax Dollar,$1.00,0.1%,-0.0%,0.0%,"$1,794,934","$909,121,571",https://www.coingecko.com/coins/6013/sparkline
The Sandbox,$0.583372,0.5%,2.9%,-3.1%,"$94,624,555","$907,878,903",https://www.coingecko.com/coins/12129/sparkline
Aave,$63.00,0.2%,2.7%,7.4%,"$126,012,429","$893,036,277",https://www.coingecko.com/coins/12645/sparkline
Lido DAO,$1.09,0.0%,-0.1%,-8.7%,"$16,048,474","$852,302,078",https://www.coingecko.com/coins/13573/sparkline
Trust Wallet,$2.00,0.2%,-2.4%,-8.5%,"$71,708,166","$834,681,384",https://www.coingecko.com/coins/11085/sparkline
TrueUSD,$0.999003,-0.2%,-0.1%,-0.6%,"$32,833,758","$808,093,357",https://www.coingecko.com/coins/3449/sparkline
Bitcoin SV,$41.58,3.1%,3.3%,6.1%,"$11,299,751","$804,150,754",https://www.coingecko.com/coins/6799/sparkline
Axie Infinity,$6.95,0.2%,4.1%,-3.6%,"$53,693,862","$784,365,427",https://www.coingecko.com/coins/13029/sparkline
Decentraland,$0.409190,0.5%,2.7%,-2.4%,"$61,821,627","$743,045,689",https://www.coingecko.com/coins/878/sparkline
USDD,$0.991508,-0.1%,-0.1%,-0.2%,"$44,898,006","$719,503,970",https://www.coingecko.com/coins/25380/sparkline
KuCoin,$6.98,0.5%,0.4%,-3.9%,"$632,383","$679,059,141",https://www.coingecko.com/coins/1047/sparkline
BitTorrent,$0.000000689267,0.3%,0.7%,3.5%,"$8,887,335","$651,453,237",https://www.coingecko.com/coins/22457/sparkline
Aptos,$4.72,0.4%,-1.7%,2.0%,"$87,221,579","$613,900,451",https://www.coingecko.com/coins/26455/sparkline
IOTA,$0.218430,0.3%,1.2%,-2.3%,"$6,739,987","$607,184,002",https://www.coingecko.com/coins/692/sparkline
Tokenize Xchange,$7.58,-0.1%,1.2%,4.5%,"$19,067,165","$606,558,019",https://www.coingecko.com/coins/4984/sparkline
Gemini Dollar,$1.00,0.3%,0.4%,0.3%,"$1,029,888","$606,453,949",https://www.coingecko.com/coins/5992/sparkline
PancakeSwap,$4.03,0.0%,-0.9%,5.4%,"$22,572,460","$604,752,269",https://www.coingecko.com/coins/12632/sparkline
WhiteBIT Token,$4.94,0.2%,0.5%,-7.6%,"$14,276,251","$596,293,281",https://www.coingecko.com/coins/27045/sparkline
Maker,$653.68,0.1%,1.0%,-4.2%,"$23,731,725","$589,258,759",https://www.coingecko.com/coins/1364/sparkline
eCash,$0.000029817982,-0.2%,1.0%,-3.9%,"$4,678,961","$573,772,728",https://www.coingecko.com/coins/16646/sparkline
cUSDC,$0.022693120896,0.0%,-0.1%,-0.1%,$187.72,"$572,271,819",https://www.coingecko.com/coins/9442/sparkline
Klaytn,$0.181371,-0.2%,-0.8%,3.3%,"$12,477,833","$548,136,204",https://www.coingecko.com/coins/9672/sparkline
Zcash,$41.98,0.2%,1.2%,5.5%,"$24,274,336","$546,890,927",https://www.coingecko.com/coins/486/sparkline
Gate,$3.68,0.0%,0.4%,2.5%,"$137,240","$535,391,383",https://www.coingecko.com/coins/8183/sparkline
Osmosis,$1.03,0.2%,-0.5%,-8.1%,"$7,223,650","$502,855,328",https://www.coingecko.com/coins/16724/sparkline
NEO,$7.00,0.4%,0.4%,3.2%,"$13,631,832","$493,639,761",https://www.coingecko.com/coins/480/sparkline
Fantom,$0.193848,0.3%,3.4%,5.2%,"$54,587,623","$492,617,885",https://www.coingecko.com/coins/4001/sparkline
BTSE Token,$3.03,0.1%,0.1%,-0.2%,"$819,473","$490,806,150",https://www.coingecko.com/coins/10807/sparkline
The Graph,$0.065271364765,0.0%,1.7%,8.1%,"$41,536,932","$482,873,321",https://www.coingecko.com/coins/13397/sparkline
PAX Gold,"$1,752.02",-0.0%,0.0%,0.3%,"$2,791,615","$477,419,315",https://www.coingecko.com/coins/9519/sparkline
Arweave,$9.46,-0.7%,2.4%,-9.1%,"$18,688,326","$475,357,591",https://www.coingecko.com/coins/4343/sparkline
Dash,$41.82,0.3%,2.3%,17.6%,"$54,967,045","$461,228,591",https://www.coingecko.com/coins/19/sparkline
Curve DAO,$0.706034,-0.2%,-2.1%,30.0%,"$83,100,377","$459,974,590",https://www.coingecko.com/coins/12124/sparkline
cDAI,$0.022121169607,0.0%,-0.1%,0.0%,"$2,083.90","$435,308,637",https://www.coingecko.com/coins/9281/sparkline
cETH,$24.40,0.1%,0.1%,-0.9%,"$4,007.01","$429,665,645",https://www.coingecko.com/coins/10643/sparkline
Mina Protocol,$0.566980,2.2%,5.4%,-1.4%,"$10,035,930","$423,560,415",https://www.coingecko.com/coins/15628/sparkline
Tether Gold,"$1,708.54",0.0%,-0.7%,-0.2%,"$362,196","$421,561,151",https://www.coingecko.com/coins/10481/sparkline
Synthetix Network,$1.71,-0.0%,1.3%,-2.0%,"$16,076,385","$411,556,324",https://www.coingecko.com/coins/3406/sparkline
NEXO,$0.700386,-0.1%,0.2%,-1.7%,"$7,353,401","$392,648,483",https://www.coingecko.com/coins/3695/sparkline
BinaryX,$147.26,-0.4%,-2.8%,-4.7%,"$5,368,884","$388,476,584",https://www.coingecko.com/coins/18095/sparkline
GMX,$44.53,-0.8%,-1.3%,3.9%,"$7,741,815","$367,717,616",https://www.coingecko.com/coins/18323/sparkline
EthereumPoW,$3.39,-0.1%,0.3%,-8.8%,"$5,798,864","$364,050,701",https://www.coingecko.com/coins/26997/sparkline
Radix,$0.036258447517,0.4%,4.0%,-20.3%,"$315,983","$363,765,191",https://www.coingecko.com/coins/4374/sparkline
THORChain,$1.20,0.3%,0.8%,-2.1%,"$15,677,885","$362,942,013",https://www.coingecko.com/coins/6595/sparkline
Zilliqa,$0.023482131290,-0.0%,3.6%,3.7%,"$32,427,944","$355,163,218",https://www.coingecko.com/coins/2687/sparkline
Ethereum Name Service,$13.68,-0.0%,4.7%,2.2%,"$39,865,482","$352,631,836",https://www.coingecko.com/coins/19785/sparkline
Basic Attention,$0.234145,0.3%,1.5%,1.0%,"$13,538,476","$349,082,573",https://www.coingecko.com/coins/677/sparkline
Helium,$2.52,0.3%,4.0%,-1.0%,"$2,290,596","$336,864,035",https://www.coingecko.com/coins/4284/sparkline
Frax Share,$4.61,0.1%,-0.6%,1.7%,"$1,289,274","$331,689,925",https://www.coingecko.com/coins/13423/sparkline
Casper Network,$0.031391186506,0.3%,1.3%,10.6%,"$4,641,931","$330,158,624",https://www.coingecko.com/coins/15279/sparkline
1inch,$0.534966,-0.0%,2.7%,-0.9%,"$49,028,225","$329,010,038",https://www.coingecko.com/coins/13469/sparkline
Stacks,$0.243719,-0.3%,1.4%,0.8%,"$11,476,613","$327,795,865",https://www.coingecko.com/coins/2069/sparkline
XDC Network,$0.023421485642,-1.2%,-1.8%,-8.0%,"$2,426,038","$323,169,137",https://www.coingecko.com/coins/2912/sparkline
Rocket Pool,$17.01,-0.9%,0.0%,2.9%,"$2,826,697","$322,418,656",https://www.coingecko.com/coins/2090/sparkline
Celo,$0.674297,0.7%,31.2%,44.0%,"$221,074,912","$318,613,144",https://www.coingecko.com/coins/11090/sparkline
BitDAO,$0.295575,0.2%,-0.8%,-1.9%,"$5,323,694","$318,025,379",https://www.coingecko.com/coins/17627/sparkline
OKC,$17.81,0.2%,2.8%,8.0%,"$2,940,357","$317,747,712",https://www.coingecko.com/coins/13708/sparkline
Convex Finance,$4.37,-0.2%,1.6%,11.1%,"$3,973,996","$313,442,211",https://www.coingecko.com/coins/15585/sparkline
Kava,$0.942002,8.8%,-6.4%,1.6%,"$17,528,898","$313,381,201",https://www.coingecko.com/coins/9761/sparkline
Enjin Coin,$0.313189,0.3%,2.8%,-1.2%,"$21,770,206","$313,297,030",https://www.coingecko.com/coins/1102/sparkline
ImmutableX,$0.449816,0.8%,4.2%,6.7%,"$5,097,442","$308,651,071",https://www.coingecko.com/coins/17233/sparkline
Loopring,$0.244988,0.3%,1.2%,-1.1%,"$20,458,067","$305,275,142",https://www.coingecko.com/coins/913/sparkline
Theta Fuel,$0.049943811916,0.2%,2.0%,6.9%,"$6,122,232","$296,621,032",https://www.coingecko.com/coins/8029/sparkline
Holo,$0.001663700570,0.2%,-0.1%,4.7%,"$13,634,332","$295,582,919",https://www.coingecko.com/coins/3348/sparkline
NEM,$0.032754694546,0.1%,-0.5%,-2.1%,"$6,453,238","$294,695,631",https://www.coingecko.com/coins/242/sparkline
Decred,$20.25,0.6%,0.0%,3.5%,"$1,416,017","$294,463,791",https://www.coingecko.com/coins/329/sparkline
DeFiChain,$0.460019,0.1%,-0.6%,-4.2%,"$5,261,566","$286,391,893",https://www.coingecko.com/coins/11757/sparkline
SafeMoon [OLD],$0.000000006391,0.1%,-0.7%,14.7%,$22.75,"$277,800,683",https://www.coingecko.com/coins/14362/sparkline
Amp,$0.003552353964,0.0%,2.5%,-3.6%,"$3,235,326","$273,777,981",https://www.coingecko.com/coins/12409/sparkline
Terra,$1.63,-0.2%,4.1%,-2.7%,"$41,597,216","$269,970,494",https://www.coingecko.com/coins/25767/sparkline
Ravencoin,$0.022473305773,-0.4%,0.9%,3.4%,"$7,922,409","$267,553,886",https://www.coingecko.com/coins/3412/sparkline
Nexus Mutual,$39.37,0.1%,0.4%,-0.6%,"$3,001.27","$266,861,529",https://www.coingecko.com/coins/11810/sparkline
Bitcoin Gold,$15.25,-0.1%,-0.1%,-2.3%,"$2,338,333","$266,680,485",https://www.coingecko.com/coins/1043/sparkline
Compound,$38.35,-0.0%,0.4%,-3.6%,"$15,283,719","$262,943,163",https://www.coingecko.com/coins/10775/sparkline
cUSDT,$0.023824248415,-0.0%,60.5%,1026.2%,$3.16,"$256,812,306",https://www.coingecko.com/coins/11621/sparkline
Sushi,$1.29,0.1%,9.2%,6.4%,"$99,922,038","$249,524,123",https://www.coingecko.com/coins/12271/sparkline
Evmos,$0.692266,-0.6%,-16.4%,-37.3%,"$2,028,310","$248,000,629",https://www.coingecko.com/coins/24023/sparkline
Maiar DEX,$0.000035933525,0.4%,-0.6%,-1.3%,"$102,166","$245,398,426",https://www.coingecko.com/coins/20657/sparkline
dYdX,$1.80,0.2%,0.8%,-16.1%,"$66,339,795","$245,330,276",https://www.coingecko.com/coins/17500/sparkline
ECOMI,$0.000900805305,-0.1%,3.6%,4.9%,"$781,784","$243,788,918",https://www.coingecko.com/coins/4428/sparkline
Waves,$2.41,0.2%,9.8%,1.3%,"$153,279,429","$241,464,831",https://www.coingecko.com/coins/425/sparkline
Kusama,$26.81,0.6%,0.5%,8.9%,"$9,283,612","$240,680,670",https://www.coingecko.com/coins/9568/sparkline
Oasis Network,$0.047441228638,-0.0%,3.8%,2.0%,"$24,286,443","$238,477,670",https://www.coingecko.com/coins/13162/sparkline
Olympus,$8.12,-0.0%,0.9%,-9.1%,"$1,757,021","$235,139,298",https://www.coingecko.com/coins/14483/sparkline
STEPN,$0.389269,0.3%,2.2%,-6.0%,"$37,417,302","$233,522,975",https://www.coingecko.com/coins/23597/sparkline
Qtum,$2.21,0.3%,1.8%,4.0%,"$13,331,383","$230,587,182",https://www.coingecko.com/coins/684/sparkline
SwissBorg,$0.241897,0.8%,1.6%,8.9%,"$182,000","$230,173,689",https://www.coingecko.com/coins/2117/sparkline
Balancer,$6.06,0.2%,-1.0%,9.2%,"$6,494,305","$228,940,715",https://www.coingecko.com/coins/11683/sparkline
Escoin,$3.26,0.1%,0.2%,0.2%,"$1,963,581","$228,752,259",https://www.coingecko.com/coins/13566/sparkline
Golem,$0.221862,0.2%,0.3%,-1.1%,"$2,445,371","$221,920,368",https://www.coingecko.com/coins/542/sparkline
Gnosis,$85.39,-0.2%,0.5%,-4.5%,"$3,194,588","$220,635,974",https://www.coingecko.com/coins/662/sparkline
Celsius Network,$0.512064,-0.1%,-0.9%,-0.7%,"$702,718","$217,004,132",https://www.coingecko.com/coins/3263/sparkline
IoTeX,$0.023040703024,0.2%,1.2%,-8.6%,"$5,385,708","$216,396,574",https://www.coingecko.com/coins/3334/sparkline
Huobi BTC,"$16,584.31",-0.2%,0.5%,-0.5%,"$90,798.80","$215,043,617",https://www.coingecko.com/coins/12407/sparkline
Euro Tether,$1.04,0.0%,0.5%,0.5%,"$162,134","$214,030,805",https://www.coingecko.com/coins/17385/sparkline
Mask Network,$3.12,0.1%,8.0%,6.7%,"$133,987,774","$212,476,866",https://www.coingecko.com/coins/14051/sparkline
Tenset,$1.13,-0.1%,5.9%,15.1%,"$57,303.78","$208,020,371",https://www.coingecko.com/coins/14629/sparkline
TerraClassicUSD,$0.021166308324,-0.6%,-3.6%,-7.8%,"$21,116,401","$207,869,284",https://www.coingecko.com/coins/12681/sparkline
IOST,$0.008732315079,0.2%,-0.7%,1.6%,"$3,818,955","$206,100,007",https://www.coingecko.com/coins/2523/sparkline
Kadena,$0.975836,0.2%,13.5%,9.0%,"$40,104,094","$205,850,165",https://www.coingecko.com/coins/3693/sparkline
Rocket Pool ETH,"$1,305.74",0.1%,0.3%,0.8%,"$906,718","$204,343,483",https://www.coingecko.com/coins/20764/sparkline
Polymath,$0.224814,0.3%,0.5%,9.7%,"$4,783,924","$202,080,503",https://www.coingecko.com/coins/2784/sparkline
JUST,$0.022525114155,0.1%,0.7%,3.6%,"$14,574,209","$200,562,614",https://www.coingecko.com/coins/11095/sparkline
Livepeer,$7.64,-0.4%,3.2%,3.2%,"$3,843,501","$200,505,802",https://www.coingecko.com/coins/7137/sparkline
yearn.finance,"$6,405.08",-0.1%,1.5%,-2.7%,"$17,731,953","$199,844,247",https://www.coingecko.com/coins/11849/sparkline
GALA,$0.025946827107,0.2%,2.2%,-6.1%,"$49,983,694","$195,762,251",https://www.coingecko.com/coins/12493/sparkline
Optimism,$0.909088,-0.1%,0.4%,-2.4%,"$31,391,916","$195,355,875",https://www.coingecko.com/coins/25244/sparkline
Energy Web,$4.41,0.3%,1.1%,13.7%,"$1,639,090","$191,259,498",https://www.coingecko.com/coins/10886/sparkline
Coinmetro,$0.624249,-0.2%,-0.1%,169.8%,"$76,417.72","$188,719,940",https://www.coingecko.com/coins/3125/sparkline
Ankr,$0.022830908214,0.2%,-0.4%,2.1%,"$8,723,563","$186,411,110",https://www.coingecko.com/coins/4324/sparkline
Convex CRV,$0.648351,0.1%,-3.6%,22.6%,"$2,695,148","$186,010,302",https://www.coingecko.com/coins/15586/sparkline
Liquity USD,$1.04,0.1%,0.6%,0.3%,"$4,286,089","$185,821,873",https://www.coingecko.com/coins/14666/sparkline
Beldex,$0.045213823313,0.0%,-0.6%,-4.0%,"$1,676,602","$181,787,589",https://www.coingecko.com/coins/5111/sparkline
Baby Doge Coin,$0.000000001127,-0.0%,-0.4%,0.9%,"$3,043,545","$180,807,543",https://www.coingecko.com/coins/16125/sparkline
Chia,$30.83,0.2%,0.0%,0.1%,"$2,457,125","$177,880,187",https://www.coingecko.com/coins/15174/sparkline
Harmony,$0.014335094772,0.3%,1.0%,1.5%,"$5,770,993","$176,618,831",https://www.coingecko.com/coins/4344/sparkline
Reserve Rights,$0.004131160194,-0.3%,5.4%,-1.0%,"$10,610,891","$174,694,794",https://www.coingecko.com/coins/8365/sparkline
Alchemix USD,$0.993418,-0.1%,0.0%,-0.1%,"$29,102.84","$174,084,209",https://www.coingecko.com/coins/14114/sparkline
Bitkub Coin,$1.95,-0.3%,-1.7%,4.2%,"$2,589,625","$173,295,731",https://www.coingecko.com/coins/15760/sparkline
Aleph Zero,$0.855664,0.6%,1.4%,1.1%,"$792,844","$172,219,026",https://www.coingecko.com/coins/17212/sparkline
LINK,$26.68,-0.7%,0.5%,-6.0%,"$9,974,533","$170,431,514",https://www.coingecko.com/coins/6450/sparkline
OMG Network,$1.20,-0.2%,-0.4%,2.4%,"$17,861,870","$168,537,389",https://www.coingecko.com/coins/776/sparkline
Dogelon Mars,$0.000000304646,0.2%,6.4%,6.4%,"$8,695,143","$167,814,364",https://www.coingecko.com/coins/14962/sparkline
Bone ShibaSwap,$0.729194,0.2%,1.7%,4.5%,"$1,657,159","$166,900,077",https://www.coingecko.com/coins/16916/sparkline
Moonbeam,$0.364120,-0.5%,5.5%,1.7%,"$9,518,277","$166,874,124",https://www.coingecko.com/coins/22459/sparkline
0x,$0.196765,0.3%,2.8%,3.6%,"$27,003,409","$166,827,921",https://www.coingecko.com/coins/863/sparkline
Flux,$0.576411,-2.1%,28.6%,25.3%,"$59,280,266","$163,242,878",https://www.coingecko.com/coins/5163/sparkline
Ontology,$0.182488,0.3%,0.8%,2.3%,"$9,543,486","$159,844,173",https://www.coingecko.com/coins/3447/sparkline
Render,$0.532542,-1.3%,12.5%,14.2%,"$33,553,212","$159,682,213",https://www.coingecko.com/coins/11636/sparkline
Telcoin,$0.002392560035,2.9%,5.6%,16.6%,"$6,825,942","$159,035,998",https://www.coingecko.com/coins/1899/sparkline
SafeMoon,$0.000281905831,1.7%,0.8%,5.6%,"$398,510","$157,291,543",https://www.coingecko.com/coins/21863/sparkline
ICON,$0.174079,0.1%,0.6%,6.9%,"$2,276,623","$155,841,562",https://www.coingecko.com/coins/1060/sparkline
SafePal,$0.480415,0.3%,3.4%,-16.8%,"$10,179,524","$154,964,809",https://www.coingecko.com/coins/13905/sparkline
Astar,$0.040424139232,-0.3%,1.8%,11.7%,"$9,215,847","$153,534,542",https://www.coingecko.com/coins/22617/sparkline
Audius,$0.160301,-0.3%,4.1%,2.5%,"$4,035,552","$148,054,883",https://www.coingecko.com/coins/12913/sparkline
WOO Network,$0.122211,-0.6%,3.2%,-3.7%,"$13,132,460","$146,047,807",https://www.coingecko.com/coins/12921/sparkline
Secret,$0.762590,-1.0%,-13.0%,6.1%,"$17,969,001","$143,091,561",https://www.coingecko.com/coins/11871/sparkline
Kaspa,$0.009718310351,-0.3%,7.5%,42.9%,"$2,511,833","$142,726,402",https://www.coingecko.com/coins/25751/sparkline
Gains Farm,"$3,965.45",0.2%,0.5%,6.1%,$79.12,"$142,091,833",https://www.coingecko.com/coins/13703/sparkline
CoinEx,$0.043512077770,0.2%,0.8%,-3.8%,"$284,625","$140,080,219",https://www.coingecko.com/coins/4817/sparkline
Siacoin,$0.002658014614,-0.1%,1.5%,0.8%,"$7,353,419","$136,949,380",https://www.coingecko.com/coins/289/sparkline
WAX,$0.060142831147,0.1%,-0.7%,5.1%,"$3,880,402","$136,779,695",https://www.coingecko.com/coins/1372/sparkline
Hive,$0.368413,0.2%,0.1%,3.8%,"$3,897,212","$136,772,338",https://www.coingecko.com/coins/10840/sparkline
Merit Circle,$0.424857,-0.2%,2.2%,-0.0%,"$9,000,561","$133,720,413",https://www.coingecko.com/coins/19304/sparkline
Constellation,$0.050931712629,0.1%,-0.1%,7.8%,"$155,751","$133,558,108",https://www.coingecko.com/coins/4645/sparkline
APENFT,$0.000000480538,-0.0%,1.1%,1.9%,"$15,312,023","$133,185,329",https://www.coingecko.com/coins/15687/sparkline
Veritaseum,$61.88,0.2%,3.8%,-5.8%,"$16,922.53","$132,991,861",https://www.coingecko.com/coins/695/sparkline
Bitgert,$0.000000335883,0.6%,4.3%,3.9%,"$681,100","$132,807,087",https://www.coingecko.com/coins/17388/sparkline
Ribbon Finance,$0.228131,-0.3%,3.2%,15.5%,"$1,167,397","$132,129,677",https://www.coingecko.com/coins/15823/sparkline
NuCypher,$0.104832,0.8%,2.2%,-2.2%,"$3,878,724","$131,819,114",https://www.coingecko.com/coins/3318/sparkline
Horizen,$9.76,0.0%,1.4%,3.8%,"$4,233,429","$127,809,649",https://www.coingecko.com/coins/691/sparkline
ConstitutionDAO,$0.025068323197,0.2%,2.1%,5.2%,"$56,769,318","$126,973,302",https://www.coingecko.com/coins/20612/sparkline
Voyager VGX,$0.429691,-0.7%,-0.6%,6.9%,"$7,029,228","$125,970,128",https://www.coingecko.com/coins/794/sparkline
Injective,$1.60,0.6%,-0.2%,-5.8%,"$9,654,787","$125,024,169",https://www.coingecko.com/coins/12882/sparkline
